SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,SHFW,ZGFW,GGSS,SHZA
0.0933885170,0.5371875710,0.0804074530,0.4143976870,0.2101241640,0.0764087870,0.3376755010,0.0000000000,0.0000000000,0.0014044940,0.0020833330,0.0016342020,0.0312500000,0.0134597740,0.0365736280,0.0049237930,0.0524325600,0.0057142860,0.0166326230,0.0010090520
0.0080968680,0.0171771900,0.0027885590,0.3266349920,0.1958429940,0.1634095180,0.0224661600,0.0474933270,0.0000000000,0.0000000000,0.0000000000,0.0003162970,0.0000000000,0.0000000000,0.0000000000,0.0015219000,0.0850129980,0.0000000000,0.0035016050,0.0002374240
0.0127394440,0.7611265110,0.1482961840,0.3115927490,0.2359981930,0.1264679310,0.0000000000,0.0000000000,0.0575483600,0.0028089890,0.0010416670,0.0000000000,0.0062500000,0.0000000000,0.0000000000,0.0087285420,0.1166143350,0.0057142860,0.0000000000,0.0003561360
0.0937623050,0.1543962100,0.2114171240,0.3582041430,0.2956187900,0.1228545620,0.0665763080,0.2590467080,0.1074236050,0.0014044940,0.0000000000,0.0002108650,0.0093750000,0.0006118080,0.0053897980,0.0003133320,0.0889969280,0.0057142860,0.0035016050,0.0008903400
0.0312414020,0.0316165650,0.0221467010,0.2913548530,0.1028037380,0.0498442370,0.0527957430,0.0833791460,0.0235213230,0.0056179780,0.0109375000,0.0003690130,0.0093750000,0.0024472320,0.0138594800,0.0287818090,0.0118505010,0.0771428570,0.0011672020,0.0018697140
0.0025802290,0.0424353230,0.0423580390,0.0730381340,0.0754716980,0.1189251000,0.0120918740,0.0065583690,0.0097131370,0.0000000000,0.0020833330,0.0268325470,0.0250000000,0.0006118080,0.0019249280,0.0323627490,0.0066848980,0.0285714290,0.0011672020,0.0000594000
0.1759411360,0.3971303590,0.2501038030,0.3705441540,0.1731267740,0.0987532400,0.0267655180,0.1109158640,0.0978627590,0.0014044940,0.0000000000,0.0001054320,0.0000000000,0.0000000000,0.0000000000,0.0043866520,0.0961544950,0.0000000000,0.0005836010,0.0002967800
0.0115832150,0.6970056960,0.1037206610,0.3586940550,0.1129363450,0.1368925390,0.0000000000,0.0588839230,0.0581392060,0.0028089890,0.0000000000,0.0003162970,0.0062500000,0.0018354240,0.0003849860,0.0000000000,0.0001350480,0.0000000000,0.0000000000,0.0000000000
0.0147767530,0.7292652490,0.0165396080,0.2715793710,0.1530779310,0.1309757690,0.0010492290,0.0187796140,0.0000000000,0.0014044940,0.0000000000,0.0034792690,0.0031250000,0.0000000000,0.0000000000,0.0008057120,0.0650258280,0.0000000000,0.0011672020,0.0000594000
0.0276520860,0.8338384440,0.0619019140,0.2717604540,0.2359068630,0.1960784310,0.0534057780,0.0000000000,0.0000000000,0.0028089890,0.0020833330,0.0001054320,0.0062500000,0.0000000000,0.0000000000,0.0000000000,0.0079678580,0.0000000000,0.0023344030,0.0000000000
0.0218010650,0.8335870520,0.3025837320,0.2386632630,0.2391304350,0.1700483090,0.0000000000,0.0000000000,0.0656551720,0.0056179780,0.0031250000,0.0051661880,0.0156250000,0.0006118080,0.0000000000,0.0010742820,0.0422026400,0.0000000000,0.0122556170,0.0020774600
0.0000000000,0.0021037740,0.0355044880,0.3038193770,0.1115166260,0.0778588810,0.0000000000,0.0558179480,0.0000000000,0.0028089890,0.0010416670,0.0000527000,0.0031250000,0.0000000000,0.0000000000,0.0047671270,0.0002025730,0.0000000000,0.0005836010,0.0000594000
