code,SYRY,edu_low21_59,DB,OLD60,CJR,JSZA,TEMP_POPU,XD,XJRY,JSGL,JTGL,MDJF,TFSJ,SPYP,SCGL,XFAQ,ZGFW,SHFW,GGSS,SHZA,risk
2699,0.003881988,0.483695652,0.025621118,0.164596273,0.022515528,0.006987578,0.0038800000,0,0.00232919,0,6,10,122,4,0,2,0,1035,6,10,1
2700,0.001547988,0.007739938,0.003095975,0.252321981,0.013931889,0.010835913,0.0000000000,0,0.00000000,0,0,8,6,0,0,0,0,0,0,0,1
2701,0.007331378,0.419354839,0.008797654,0.258064516,0.019061584,0.004398827,0.0000000000,0.001466276,0.00000000,0,2,0,0,0,0,2,0,3062,2,278,1
2702,0.006531205,0.460087083,0.009433962,0.230769231,0.019593614,0.009433962,0.0000000000,0.000725689,0.00000000,0,0,0,56,0,0,24,0,2852,60,84,1
2703,0.01616031,0.109459168,0.00258565,0.173884939,0,0,0.0554000000,0,0.00000000,0,0,292,0,0,54,3636,0,104,0,110,1
2704,0.001469148,0.017140059,0.003428012,0.190989226,0.010284035,0.00244858,0.0823000000,0.001958864,0.00000000,4,4,60,6,0,0,330,0,1024,68,64,1
2705,0.001795977,0.001795977,0.021192529,0.333692529,0.018318966,0.003951149,0.0291000000,0.001436782,0.00431035,84,0,6,8,0,2,4552,0,2160,326,56,2
2706,0.000817661,0.000817661,0.00572363,0.220768602,0.01635323,0.004088307,0.0000000000,0,0.00000000,6,0,8,2,0,4,0,0,1158,0,0,1
2707,0.004969238,0.019758637,0,0.027094179,0.001656413,0.00023663,0.0663000000,0.000354946,0.00035495,10,42,32,22,14,92,5608,22,3706,246,326,1
2708,0.021640091,0.51309795,0.009111617,0.176537585,0.027334852,0.007972665,0.0034200000,0,0.00341686,46,18,410,16,408,12,24,12,3934,64,42,2
2709,0.000578425,0.004145377,0.006844693,0.239660657,0.009254796,0.004048973,0.2590000000,0.005784248,0.00086764,126,262,195,154,94,580,2182,0,4162,558,650,3
2710,0.039734269,0.453121083,0,0.161193282,0.004387064,0.001002758,0.1860000000,0.000626723,0.00000000,2,4,6,14,0,2,130,0,1822,486,620,2
2711,0.001244942,0.000311236,0.003734827,0.332088391,0.016495487,0.005291005,0.1020000000,0.004046063,0.00000000,0,0,28,0,0,0,2790,0,196,0,990,2
2712,0.00798722,0.548722045,0.017571885,0.166932907,0.02715655,0.00798722,0.0000000000,0.000798722,0.00000000,0,0,0,0,0,0,0,0,408,0,0,1
2713,0,0.112359551,0.029213483,0.175280899,0.031460674,0.017977528,0.0000000000,0,0.00224719,0,0,52,0,0,0,341,0,1902,12,8,1
2714,0.007717944,0.034555341,0.002806525,0.234169444,0.005788458,0.000526223,0.1170000000,0.000350816,0.00052622,62,295,44,24,187,141,4112,32,6167,203,2694,2
2715,0.003621548,0.043458579,0.003168855,0.200543232,0.02444545,0.014033499,0.0000000000,0,0.00135808,0,0,0,0,0,0,2,0,192,0,40,1
2716,0.001468429,0.005873715,0.002936858,0.208516887,0.019089574,0.010279001,0.0014700000,0,0.00000000,0,8,28,0,92,4,304,0,3066,20,348,1
2717,0.004454343,0.061247216,0.023756496,0.229769859,0.018930958,0.002969562,0.0197000000,0.002969562,0.00000000,0,22,2,40,66,0,372,0,150,150,120,1
2718,0.000700525,0.171278459,0.013309982,0.238528897,0.017863398,0.002451839,0.3280000000,0.004203152,0.00175131,6,12,15,2,1,4,12885,65,7515,16,2926,3
2719,0.00017313,0.001211911,0.002596953,0.15166205,0.004847645,0.001038781,0.0608000000,0.001731302,0.00034626,6,24,1264,14,0,8,374,0,1124,140,228,1
2720,0.001636661,0.505728314,0.031096563,0.191489362,0.014729951,0.003273322,0.0000000000,0.001636661,0.00818331,0,0,0,0,0,8,0,0,236,0,0,2
2721,0.006622517,0.010596026,0.000662252,0.009933775,0.003311258,0.001324503,0.0967000000,0,0.00000000,0,0,2,12,0,0,350,0,90,44,96,1
2722,0.000172176,0.000688705,0.000860882,0.190082645,0.00464876,0.004476584,0.3120000000,0.002410468,0.00017218,2,89,12,11,4,54,40,0,97,65,52,1
2723,0.015209125,0.435741445,0.007604563,0.184790875,0,0,0.1280000000,0,0.00000000,0,20,308,6,0,6,10919,0,40,2,1926,2
2724,0.011995638,0.453653217,0.00436205,0.183206107,0.015267176,0.003271538,0.0000000000,0.005452563,0.00000000,8,4,32,12,10,0,44,0,542,36,10,1
2725,0.001262626,0.506313131,0.005050505,0.207070707,0.013888889,0.002525253,0.0025300000,0.002525253,0.00252525,8,2,34,2,0,0,46,0,2306,0,2,1
2726,0.005333333,0.370666667,0.005333333,0.208,0.010666667,0.008,0.0000000000,0,0.00266667,2,0,0,26,2,0,0,0,601,36,6,1
2727,0,0.485185185,0.033333333,0.240740741,0.014814815,0.007407407,0.0000000000,0.003703704,0.00370370,44,6,10,16,48,12,4,0,301,18,22,2
2728,0.00203252,0.136856369,0.020325203,0.203252033,0.029810298,0.009485095,0.0522000000,0,0.00000000,2,0,40,2,0,0,74,0,1412,4,56,1
2729,0.00132714,0.485733245,0.00995355,0.208360982,0.02189781,0.00729927,0.0000000000,0,0.00199071,0,0,6,0,42,4,0,0,1302,6,4,1
2730,0.007446016,0.567386448,0.009679821,0.223380491,0.022338049,0.010424423,0.0044700000,0.000744602,0.00074460,4,0,204,8,12,0,4,20,94,2,10,1
2731,0.013413816,0.324614353,0.004024145,0.27297116,0,0,0.0335000000,0.008718981,0.00000000,0,0,148,0,0,28,510,0,60,0,14,1
2732,0.020512821,0.125641026,0.007692308,0.361538462,0,0,0.0846000000,0,0.00000000,1,2,45,0,0,0,338,0,24,0,30,1
2733,0.007881773,0.433497537,0.000985222,0.2,0.013793103,0.004926108,0.0019700000,0,0.00098522,16,8,0,0,10,2,318,0,1148,16,228,1
2734,0.002797203,0.479020979,0.032167832,0.198601399,0.027972028,0.000699301,0.0000000000,0,0.00000000,12,10,22,198,0,0,10,0,3996,36,8,1
2735,0.005427408,0.027137042,0,0.074626866,0.001356852,0,0.0000000000,0.001356852,0.00000000,0,2,0,0,0,4,135,0,194,2,0,1
2736,0.010259179,0.397948164,0.022678186,0.239200864,0.024838013,0.005939525,0.0016200000,0.003239741,0.00000000,0,0,2,0,0,0,0,0,602,0,4,1
2737,0.002492212,0.186292835,0.000623053,0.244859813,0.005607477,0.005607477,0.0024900000,0.001869159,0.00186916,0,0,8,0,514,0,0,0,2,2,476,1
2738,0,0.550377834,0.007556675,0.229219144,0.016372796,0.003778338,0.0101000000,0.001259446,0.00000000,0,0,2,2,0,0,491,0,7686,8,0,1
2739,0.005122951,0.411885246,0.025614754,0.18545082,0.015368852,0.004098361,0.0000000000,0.00102459,0.00000000,0,0,0,120,2,0,2,0,484,12,4,1
2740,0.003956479,0.491097923,0.017309594,0.168150346,0.022749753,0.010880317,0.0000000000,0.00049456,0.00000000,4,26,42,26,16,24,100,6,3488,53,52,1
2741,0.000568505,0.038089824,0,0.189880614,0.01648664,0.006822058,0.0000000000,0,0.00056851,0,0,12,0,0,0,2,0,1072,4,4,1
2742,0.002091175,0.329150983,0,0.236302802,0.020911752,0.010037641,0.0016700000,0.00083647,0.00000000,0,6,8,2,0,0,144,0,2424,10,112,1
2743,0.010752688,0.494623656,0,0.209677419,0.005376344,0,0.0000000000,0,0.00000000,0,0,0,0,0,0,0,0,1501,0,0,1
2744,0,0.021067416,0.002808989,0.240168539,0.023876404,0.002808989,0.0000000000,0,0.00842697,0,0,4,0,2,0,68,0,290,18,6,1
2745,0.008791832,0.013045944,0.00113443,0.264605786,0.007657402,0.001418037,0.0927000000,0.003119682,0.00170165,0,0,359,10,2,2,94,0,3186,38,239,1
2746,0.002552974,0.006127138,0.001659433,0.175899923,0.006637733,0.000765892,0.1760000000,0.001787082,0.00012765,6,8,196,18,10,92,660,5,4708,82,138,1
2747,0.032462687,0.473880597,0.010447761,0.214552239,0.035074627,0.008955224,0.0000000000,0.001865672,0.00037313,12,0,50,18,0,2,0,0,2636,24,6,1
2748,0.051132686,0.585113269,0.022006472,0.190291262,0.017475728,0.005825243,0.0019400000,0,0.00000000,30,0,4,8,4,2,0,0,1664,44,5088,2
2749,0.000296472,0.001778832,0.021345983,0.305662615,0.031129558,0.006818856,0.2500000000,0.008004744,0.00029647,0,0,2,0,0,0,2892,0,14,16,12,2
2750,0,0.00855432,0.000285144,0.273453094,0.009409752,0.000285144,0.0559000000,0,0.00000000,0,0,6,2,0,0,14378,0,764,20,54,2
